Word,Definition
privileges,a special advantage or immunity or benefit not enjoyed by all
expecting,regard something as probable or likely
brothers,a male with the same parents as someone else
vulnerable,susceptible to attack
captain,an officer holding a rank below a major but above a lieutenant
extending,extend in scope or range or area
festival,a day or period of time set aside for feasting and celebration
injured,cause injuries or bodily harm to
stampeding,cause to run in panic
worthless,lacking in usefulness or value
regardless,(usually followed by `of') without due thought or consideration
unemployed,people who are involuntarily out of work (considered as a group)
blind,"people who have severe visual impairments, considered as a group"
borders,a line that indicates a boundary
struggle,an energetic attempt to achieve something
survive,continue to live through hardship or adversity
bishop,a senior member of the Christian clergy having spiritual and administrative authority; appointed in Christian churches to oversee priests or ministers; considered in some churches to be successors of the twelve Apostles of Christ
crowd,a large number of things or people considered together
slashed,cut with sweeping strokes; as with an ax or machete
apart,remote and separate physically or socially; ; - W.H.Hudson
grenades,a small explosive bomb thrown by hand or fired from a missile
reject,the person or thing that is rejected or set aside as inferior in quality
member,one of the persons who compose a social group (especially individuals who have joined and participate in a group organization)
parliament,a legislative assembly in certain countries
rile,"cause annoyance in; disturb, especially by minor irritations"
emotions,any strong feeling
unsolved,not solved
unmoved,emotionally unmoved
remain,stay the same; remain in a certain state
majority,the property resulting from being or relating to the greater in number of two parts; the main part
offense,a lack of politeness; a failure to show regard for others; wounding the feelings or others
schools,an educational institution
students,a learner who is enrolled in an educational institution
differently,in another and different manner
aside,a line spoken by an actor to the audience but not intended for others on the stage
twinkling,a very short time (as the time it takes the eye to blink or the heart to beat)
darkness,absence of light or illumination
spark,a momentary flash of light
plugs,blockage consisting of an object designed to fill a hole tightly
beauty,the qualities that give pleasure to the senses
appeared,give a certain impression or have a certain outward aspect
burned,destroy by fire
platform,a raised horizontal surface
crew,"the men and women who man a vehicle (ship, aircraft, etc.)"
camera,equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other)
speaker,someone who expresses in language; someone who talks (especially someone who delivers a public speech or someone especially garrulous)
dramatically,in a very impressive manner
m,the basic unit of length adopted under the Systeme International d'Unites (approximately 1.094 yards)
skin,a natural protective body covering and site of the sense of touch
makes,a recognizable kind
strong,having strength or power greater than average or expected
wind,air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure
ears,the sense organ for hearing and equilibrium
isolate,place or set apart
shiver,a reflex motion caused by cold or fear or excitement
sardines,small fatty fish usually canned
matches,lighter consisting of a thin piece of wood or cardboard tipped with combustible chemical; ignites with friction
dripping,a liquid (as water) that flows in drops (as from the eaves of house)
streetcar,a wheeled vehicle that runs on rails and is propelled by electricity
follow,"to travel behind, go after, come after"
nuns,a woman religious
press,the state of demanding notice or attention
running,(American football) a play in which a player attempts to carry the ball through or past the opposing team
supposed,express a supposition
pager,an electronic device that generates a series of beeps when the person carrying it is being paged
buzzed,make a buzzing sound
hopefully,with hope; in a hopeful manner
detention,a state of being confined (usually for a short time)
copy,a reproduction of a written record (e.g. of a legal or school record)
denied,declare untrue; contradict
involved,connect closely and often incriminatingly
signatures,your name written in your own handwriting
tile,a flat thin rectangular slab (as of fired clay or rubber or linoleum) used to cover surfaces
heels,the bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation
click,a short light metallic sound
offices,place of business where professional or clerical duties are performed
disappeared,"get lost, as without warning or explanation"
searched,"try to locate or discover, or try to establish the existence of"
goulash,a rich meat stew highly seasoned with paprika
info,a message received and understood
photo,a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material
tapping,the sound of light blow or knock
manicured,trim carefully and neatly
nails,horny plate covering and protecting part of the dorsal surface of the digits
palm,the inner surface of the hand from the wrist to the base of the fingers
demonstrations,a show or display; the act of presenting something to sight or view
applied,put into service; make work or employ for a particular purpose or for its inherent or natural purpose
friendly,troops belonging to or allied with your own military forces
recognize,accept (someone) to be what is claimed or accept his power and authority
quarters,housing available for people to live in
folded,bend or lay so that one part covers the other
photocopies,a photographic copy of written or printed or graphic work
divided,separate into parts or portions
distracted,draw someone's attention away from something
lobby,a large entrance or reception room or area
piled,arrange in stacks
driving,hitting a golf ball off of a tee with a driver
sheets,any broad thin expanse or surface
folding,the process whereby a protein molecule assumes its intricate three-dimensional shape
chairs,"a seat for one person, with a support for the back"
concrete,a strong hard building material composed of sand and gravel and cement and water
suche,unavailable
posted,affix in a public place or for public notice
copies,a reproduction of a written record (e.g. of a legal or school record)
drawer,a boxlike container in a piece of furniture; made so as to slide in and out
dresser,furniture with drawers for keeping clothes
approximately,(of quantities) imprecise but fairly close to correct
attend,"be present at (meetings, church services, university), etc."
toothbrush,small brush; has long handle; used to clean teeth
doable,capable of existing or taking place or proving true; possible to do
attended,"be present at (meetings, church services, university), etc."
receiver,set that receives radio or tv signals
trickier,not to be trusted; - James Agee
mouth,the opening through which food is taken in and vocalizations emerge
thousand,the cardinal number that is the product of 10 and 100
heartful,unavailable
entered,to come or go into
broadly,without regard to specific details or exceptions
imagining,form a mental image of something that is not present or that is not the case
eagerly,with eagerness; in an eager manner
odd,not divisible by two
twin,either of two offspring born at the same time from the same pregnancy
reunited,have a reunion; unite again
laughter,the sound of laughing
hugs,a tight or amorous embrace
reunion,a party of former associates who have come together again
trees,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
woods,the trees and other plants in a large densely wooded area
folder,a small book usually having a paper cover
deck,any of various platforms built into a vessel
vouch,give personal assurance; guarantee
demanded,request urgently and forcefully
yesterday,the day immediately before today
younger,used of the younger of two persons of the same name especially used to distinguish a son from his father
distance,the property created by the space between two objects or points
signature,your name written in your own handwriting
hairbrush,a brush used to groom a person's hair
clothes,clothing in general
wisely,in a wise manner
claim,an assertion of a right (as to money or property)
jail,a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence)
guard,a person who keeps watch over something or someone
questions,an instance of questioning
formality,a requirement of etiquette or custom
low,an air mass of lower pressure; often brings precipitation
patient,a person who requires medical care
unclear,poorly stated or described
headed,to go or travel towards
falls,the petals or sepals of a flower that bend downward (especially the outer perianth of an iris)
milkmaid,a woman who works in a dairy
cards,a game played with playing cards
dentist,a person qualified to practice dentistry
appointment,the act of putting a person into a non-elective position
moves,the act of deciding to do something
dizzy,make dizzy or giddy
groceries,a marketplace where groceries are sold
louder,characterized by or producing sound of great volume or intensity
cleaning,the act of making something clean
cavity,a sizeable hole (usually in the ground)
enthusiasm,a feeling of excitement
i.,unavailable
lugged,carry with difficulty
doubted,consider unlikely or have doubts about
fear,an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)
propelled,cause to move forward with force
threshold,the starting point for a new state or experience
estimated,judge tentatively or form an estimate of (quantities or time)
easily,with ease (`easy' is sometimes used informally for `easily')
root,(botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground
canal,(astronomy) an indistinct surface feature of Mars once thought to be a system of channels; they are now believed to be an optical illusion
miniature,painting or drawing included in a book (especially in illuminated medieval manuscripts)
laid,put into a certain place or abstract location
counting,the act of counting; reciting numbers in ascending order
ripping,tear or be torn violently
covers,a covering that serves to conceal or shelter something
magazines,a periodic publication containing pictures and stories and articles of interest to those who purchase it or subscribe to it
drove,a group of animals (a herd or flock) moving together
type,a subdivision of a particular kind of thing
prevented,keep from happening or arising; make impossible
measuring,the act or process of assigning numbers to phenomena according to a rule
spilled,cause or allow (a liquid substance) to run or flow from a container
archways,a passageway under a curved masonry construction
los,unavailable
ist,unavailable
bar,a room or establishment where alcoholic drinks are served over a counter
curved,turn sharply; change direction abruptly
fitting,making or becoming suitable; adjusting to circumstances
professional,a person engaged in one of the learned professions
gloves,the handwear used by fielders in playing baseball
tails,formalwear consisting of full evening dress for men
tie,neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front
formalwear,attire to wear on formal occasions in the evening
jitterbug,a jerky American dance that was popular in the 1940s
hallway,an interior passage or corridor onto which rooms open
explore,inquire into
tricks,a cunning or deceitful action or device
magic,any art that invokes supernatural powers
picture,a visual representation (of an object or scene or person or abstraction) produced on a surface
adjustment,making or becoming suitable; adjusting to circumstances
final,the final match between the winners of all previous matches in an elimination tournament
waiter,a person whose occupation is to serve at table (as in a restaurant)
tray,an open receptacle for holding or displaying or serving articles or food
ups,raise
grown,"pass into a condition gradually, take on a specific property or attribute; become"
wrapping,the covering (usually paper or cellophane) in which something is wrapped
gulp,a large and hurried swallow
ballrooms,large room used mainly for dancing
collided,be incompatible; be or come into conflict
secluded,keep away from others
measures,any maneuver made as part of progress toward a goal
orchestra,a musical organization consisting of a group of instrumentalists including string players
instruments,a device that requires skill for proper use
poking,a sharp hand gesture (resembling a blow)
trumpeters,a musician who plays the trumpet or cornet
respond,show a response or a reaction to something
kissed,"touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc."
cheeks,either side of the face below the eyes
paired,form a pair or pairs
fanfare,a gaudy outward display
trumpets,pitcher plant of southeastern United States having erect yellow trumpet-shaped pitchers with wide mouths and erect lids
tuxedo,semiformal evening dress for men
rent,"a payment or series of payments made by the lessee to an owner for use of some property, facility, equipment, or service"
dustpan,the quantity that a dustpan will hold
brooms,a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle
descended,"move downward and lower, but not necessarily all the way"
tinkling,make or emit a high sound
links,a golf course that is built on sandy ground near a shore
cuff,the lap consisting of a turned-back hem encircling the end of the sleeve or leg
cummerbunds,a broad pleated sash worn as formal dress with a tuxedo
disco,popular dance music (especially in the late 1970s); melodic with a regular bass beat; intended mainly for dancing at discotheques
sea,a division of an ocean or a large body of salt water partially enclosed by land
protectively,in a protective manner
fancy,something many people believe that is false
balls,round object that is hit or thrown or kicked in games
liquid,a substance that is liquid at room temperature and pressure
perfume,a distinctive odor that is pleasant
sprayed,be discharged in sprays of liquid
massive,imposing in size or bulk or solidity
bowed,"bend one's knee or body, or lower one's head"
gray,a neutral achromatic color midway between white and black
smudge,a smoky fire to drive away insects
gown,"a woman's dress, usually with a close-fitting bodice and a long flared skirt, often worn on formal occasions"
mascara,makeup that is used to darken and thicken the eye lashes
covering,a natural object that covers or envelops
procession,(theology) the origination of the Holy Spirit at Pentecost
arms,weapons considered collectively
alcove,a small recess opening off a larger room
pale,a wooden strip forming part of a fence
wan,a computer network that spans a wider area than does a local area network
shaking,the act of causing something to move up and down (or back and forth) with quick movements
public,people in general considered as a whole
weakly,lacking bodily or muscular strength or vitality
freaked,lose one's nerve
brief,a document stating the facts and points of law of a client's case
shown,give an exhibition of to an interested audience
terse,brief and to the point; effectively cut short
exchange,chemical process in which one atom or ion or group changes places with another
hemmed,fold over and sew together to provide with a hem
bedroom,a room used primarily for sleeping
restroom,a toilet that is available to the public
wedding,the social event at which the ceremony of marriage is performed
waltzing,dance a waltz
plead,appeal or request earnestly
gripped,hold fast or firmly
forehead,the part of the face above the eyes
petticoat,undergarment worn under a skirt
high,a lofty level or position or degree
heeled,tilt to one side
shoes,a particular situation
pulling,the act of pulling; applying force to move something toward or with you
curls,a round shape formed by a series of concentric circles (as formed by leaves or flower petals)
updo,unavailable
pronouncing,"speak, pronounce, or utter in a certain way"
rich,people who have possessions and wealth (considered as a group)
stuffy,lacking fresh air
dresses,a one-piece garment for a woman; has skirt and bodice
patch,a small contrasting part of something
erased,remove from memory or existence
signs,a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
volunteered,tell voluntarily
mused,reflect deeply on a subject
waving,the act of signaling by a movement of the hand
stern,the rear part of a ship
clearly,without doubt or question
prepared,"make ready or suitable or equip in advance for a particular purpose or for some use, event, etc"
happened,come to pass
changed,cause to change; make different; cause a transformation
appears,give a certain impression or have a certain outward aspect
silver,a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography
adding,"make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of"
instances,an occurrence of something
invisible,impossible or nearly impossible to see; imperceptible by the eye
addition,a component that is added to something to improve it
tag,"a label written or printed on paper, cardboard, or plastic that is attached to something to indicate its owner, nature, price, etc."
dialogue,a conversation between two persons
nodding,express or signify by nodding
characters,an imaginary person represented in a work of fiction (play or film or story)
query,an instance of questioning
global,involving the entire earth; not limited or provincial in scope
virtually,in essence or effect but not in fact
especially,to a distinctly greater extent or degree than is common
repetition,an event that repeats
instance,an occurrence of something
shake,building material used as siding or roofing
refer,make reference to
plural,the form of a word that is used to denote more than one
consistency,the property of holding together and retaining its shape
earrings,jewelry to ornament the ear; usually clipped to the earlobe or fastened through a hole in the lobe
peeking,throw a glance at; take a brief look at
sentence,a string of words satisfying the grammatical rules of a language
numeral,a symbol used to represent a number
similar,marked by correspondence or resemblance
changes,an event that occurs when something passes from one state or phase to another
paragraphs,one of several distinct subdivisions of a text intended to separate ideas; the beginning is usually marked by a new indented line
comment,a statement that expresses a personal opinion or belief or adds information
mentioned,make reference to
defines,determine the essential quality of
length,the linear extent in space from one end to the other; the longest dimension of something that is fixed in place
mouthed,express in speech
gambling,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
fixed,restore by replacing a part or putting together what is torn or broken
recast,"cast again, in a different role"
credibility,the quality of being believable or trustworthy
italics,a style of handwriting with the letters slanting to the right
tourism,the business of providing services to tourists
decades,a period of 10 years
pop,an informal term for a father; probably derived from baby talk
ring,a characteristic sound
term,a word or expression used for some particular thing
slur,(music) a curved line spanning notes that are to be played legato
considering,deem to be
sodas,a sodium salt of carbonic acid; used in making soap powders and glass and paper
thanks,an acknowledgment of appreciation
actions,something done (usually as opposed to something said)
separate,a separately printed article that originally appeared in a larger publication
exclamation,an abrupt excited utterance
wailed,emit long loud cries
mystery,something that baffles understanding and cannot be explained
matched,"be compatible, similar or consistent; coincide in their characteristics"
unfortunately,by bad luck
reputable,having a good reputation
dictionary,a reference book containing an alphabetical list of words with information about them
online,on a regular route of a railroad or bus or airline system
suggests,"make a proposal, declare a plan for something"
halo,an indication of radiant light drawn around the head of a saint
l,"a metric unit of capacity, formerly defined as the volume of one kilogram of pure water under standard conditions; now equal to 1,000 cubic centimeters (or approximately 1.75 pints)"
zdravo,unavailable
answering,react verbally
disagreement,a conflict of people's opinions or actions or characters
refusal,the act of refusing
meaning,the message that is intended or expressed or signified
exact,claim as due or just
corridor,an enclosed passageway; rooms usually open onto it
clarity,free from obscurity and easy to understand; the comprehensibility of clear expression
hello,an expression of greeting
paragraph,one of several distinct subdivisions of a text intended to separate ideas; the beginning is usually marked by a new indented line
rhinestones,an imitation diamond made from rock crystal or glass or paste
description,a statement that represents something in words
unicorn,an imaginary creature represented as a white horse with a long horn growing from its forehead
spelling,forming words with letters according to the principles underlying accepted usage
mentions,a remark that calls attention to something or someone
plus,a useful or valuable quality
reads,something that is read
deleted,remove or make invisible
again”—there,unavailable
mention,a remark that calls attention to something or someone
pistachios,small tree of southern Europe and Asia Minor bearing small hard-shelled nuts
shakes,building material used as siding or roofing
nineteen,the cardinal number that is the sum of eighteen and one
fit,a display of bad temper
em,a quad with a square body
dash,distinctive and stylish elegance
edited,"prepare for publication or presentation by correcting, revising, or adapting"
repeating,the act of doing or performing again
clarify,make clear and (more) comprehensible
correct,make right or correct
simplified,make simpler or easier or reduce in complexity or extent
technically,with regard to technique
connection,a relation between things or events (as in the case of one causing the other or sharing features with it)
greatest,highest in quality
miss,a young woman
specifically,in distinction from others
counseled,give advice to
spelled,orally recite the letters of or give the spelling of
kl18r17,unavailable
calendar,a system of timekeeping that defines the beginning and length and divisions of the year
cited,make reference to
shifted,make a shift in or exchange of
timeline,a sequence of related events arranged in chronological order and displayed along a line (usually drawn left to right or top to bottom)
stopover,a stopping place on a journey
squealed,"utter a high-pitched cry, characteristic of pigs"
follows,"to travel behind, go after, come after"
mark,a number or letter indicating quality (especially of a student's performance)
action,something done (usually as opposed to something said)
comma,"a punctuation mark (,) used to indicate the separation of elements within the grammatical structure of a sentence"
multiple,the product of a quantity by an integer
bouquet,an arrangement of flowers that is usually given as a present
nods,a sign of assent or salutation or command
revisions,the act of revising or altering (involving reconsideration and modification)
affect,the conscious subjective aspect of feeling or emotion
assistant,a person who contributes to the fulfillment of a need or furtherance of an effort or purpose
female,an animal that produces gametes (ova) that can be fertilized by male gametes (spermatozoa)
pox,a common venereal disease caused by the treponema pallidum spirochete; symptoms change through progressive stages; can be congenital (transmitted through the placenta)
conversation,the use of speech for informal exchange of views or ideas or information etc.
readers,a person who enjoys reading
routinely,according to routine or established practice
clean,a weightlift in which the barbell is lifted to shoulder height and then jerked overhead
student,a learner who is enrolled in an educational institution
conveyor,a person who conveys (carries or transmits)
checked,"examine so as to determine accuracy, quality, or condition"
belt,endless loop of flexible material between two rotating shafts or pulleys
liking,a feeling of pleasure and enjoyment
snack,a light informal meal
abrupt,marked by sudden changes in subject and sharp transitions
options,the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited
ketchup,thick spicy sauce made from tomatoes
flowery,of or relating to or suggestive of flowers
deleting,remove or make invisible
composed,form the substance of
stain,a soiled or discolored appearance
longer,a person with a strong desire for something
closet,a small room (or recess) or cabinet used for storage space
spending,the act of spending or disbursing money
unspecified,not stated explicitly or in detail
shy,a quick throw
sleeve,the part of a garment that is attached at the armhole and that provides a cloth covering for the arm
flesh,the soft tissue of the body of a vertebrate: mainly muscle tissue and fat
confusing,mistake one thing for another
context,discourse that surrounds a language unit and helps to determine its interpretation
translation,a written communication in a second language having the same meaning as the written communication in a first language
rat,any of various long-tailed rodents similar to but larger than a mouse
advice,a proposal for an appropriate course of action
citations,an official award (as for bravery or service) usually given as formal public statement
parenthetical,an expression in parentheses
council,a body serving in an administrative capacity
smaller,small or little relative to something else
larger,large or big relative to something else
abbreviation,a shortened form of a word or phrase
suggest,"make a proposal, declare a plan for something"
sunglasses,spectacles that are darkened or polarized to protect the eyes from the glare of the sun
wears,impairment resulting from long use
skis,narrow wood or metal or plastic runners used in pairs for gliding over snow
gnome,a legendary creature resembling a tiny old man; lives in the depths of the earth and guards buried treasure
answers,a statement (either spoken or written) that is made to reply to a question or request or criticism or accusation
oder,a European river; flows into the Baltic Sea
speaks,express in speech
mistakes,a wrong action attributable to bad judgment or ignorance or inattention
ok,a state in south central United States
steep,a steep place (as on a hill)
acting,the performance of a part or role in a drama
crepes,paper with a crinkled texture; usually colored and used for decorations
described,give a description of
glancing,throw a glance at; take a brief look at
inconsistent,displaying a lack of consistency
typo,a mistake in printed matter resulting from mechanical failures of some kind
guessing,an estimate based on little or no information
intentional,characterized by conscious design or purpose
share,assets belonging to or due to or contributed by an individual person or group
choice,the person or thing chosen or selected
economical,using the minimum of time or resources necessary for effectiveness
upstairs,the part of a building above the ground floor
breakfast,the first meal of the day (usually in the morning)
cook,someone who cooks food
bags,a flexible container with a single opening
sentences,a string of words satisfying the grammatical rules of a language
oatmeal,porridge made of rolled oats
gorgeous,dazzlingly beautiful
emphasizing,the act of giving special importance or significance to something
midnight,12 o'clock at night; the middle of the night
burger,United States jurist appointed chief justice of the United States Supreme Court by Richard Nixon (1907-1995)
image,an iconic mental representation
titles,a heading that names a statute or legislative bill; may give a brief summary of the matters it deals with
detail,an isolated fact that is considered separately from the whole
beard,the hair growing on the lower part of a man's face
describe,give a description of
boiled,come to the boiling point and change from a liquid to vapor
bite,a wound resulting from biting by an animal or a person
details,true confidential information
indicates,be a signal for or a symptom of
silk,a fabric made from the fine threads produced by certain insect larvae
numerals,a symbol used to represent a number
text,the words of something written
handwritten,written by hand
adds,a condition (mostly in boys) characterized by behavioral and learning disorders
quotation,a short note recognizing a source of information or of a quoted passage
etc,unavailable
references,a remark that calls attention to something or someone
usher,Irish prelate who deduced from the Bible that Creation occurred in the year 4004 BC (1581-1656)
ushered,"take (someone) to their seats, as in theaters or auditoriums"
e.g.,as an example
interrupt,a signal that temporarily stops the execution of a program so that another procedure can be carried out
trail,a track or mark left by something that has passed
introduced,cause to come to know personally
present,the period of time that is happening now; any continuous stretch of time including the moment of speech
impression,a vague idea in which some confidence is placed
order,"(often plural) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed"
spends,pass time in a specific way
sights,"an optical instrument for aiding the eye in aiming, as on a firearm or surveying instrument"
pp,unavailable
particular,a fact about some part (as opposed to general)
seep,pass gradually or leak through or as if through small openings
na,a silvery soft waxy metallic element of the alkali metal group; occurs abundantly in natural compounds (especially in salt water); burns with a yellow flame and reacts violently in water; occurs in sea water and in the mineral halite (rock salt)
gon,unavailable
uncertainty,being unsettled or in doubt or dependent on chance
appear,give a certain impression or have a certain outward aspect
note,a brief written record
blankets,bedding that keeps a person warm in bed
relevant,having a bearing on or connection with the subject at issue
agreeing,be in accord; be in agreement
lessons,a unit of instruction
dumping,selling goods abroad at a price below that charged in the domestic market
reader,a person who enjoys reading
remind,put in the mind of someone
based,use as a basis for; found on
possible,something that can be done
comes,the thick white fluid containing spermatozoa that is ejaculated by the male genital tract
events,something that happens at a given place and time
past,the time that has elapsed
tense,a grammatical category of verbs used to express distinctions of time
generally,usually; as a rule
scarves,a garment worn around the head or neck or shoulders for warmth or decoration
texture,the feel of a surface or a fabric
smooth,the act of smoothing
direct,command with authority
intended,have in mind as a purpose
subjunctive,a mood that represents an act or state (not as a fact but) as contingent or possible
wonderful,extraordinarily good or great ; used especially as intensifiers
finish,a decorative texture or appearance of a surface (or the substance that gives it that appearance)
indicate,be a signal for or a symptom of
adjusted,alter or regulate so as to achieve accuracy or conform to a standard
stet,"printing: cancel, as of a correction or deletion"
immediately,without delay or hesitation; with no time intervening
contractions,(physiology) a shortening or tensing of a part or organ (especially of a muscle or muscle fiber)
uses,the act of using
aloud,using the voice; not silently
lyrics,the text of a popular song or musical-comedy number
hears,perceive (sound) via the auditory sense
inserting,put or introduce into something
quotes,a punctuation mark used to attribute the enclosed text to someone else
opens,a clear or unobstructed space or expanse of land or water
altogether,informal terms for nakedness
skipped,bypass
secretary,a person who is head of an administrative department of government
lapse,a mistake resulting from inattention
typically,in a typical manner
trailing,the pursuit (of a person or animal) by following tracks or marks they left behind
interrupts,a signal that temporarily stops the execution of a program so that another procedure can be carried out
ellipsis,omission or suppression of parts of words or sentences
crumbling,fall apart
missing,fail to perceive or to catch with the senses or the mind
facial,cranial nerve that supplies facial muscles
earn,earn on some commercial or business transaction; earn as salary or wages
developments,act of improving by expanding or enlarging or refining
scenes,the place where some action occurs
kisses,the act of caressing with the lips (or an instance thereof)
finger,any of the terminal members of the hand (sometimes excepting the thumb)
pressing,the act of pressing; the exertion of pressure
pressed,exert pressure or force to or upon
crease,an angular or rounded shape made by folding
eyebrows,the arch of hair above each eye
houses,a dwelling that serves as living quarters for one or more families
consulting,get or ask advice from
catch,a drawback or difficulty that is not readily evident
replaced,substitute a person or thing for (another that is broken or inefficient or lost or no longer working or yielding what is expected)
shape,any spatial attributes (especially as defined by outline)
excellent,very good;of the highest quality
furniture,furnishings that make a room or other area ready for occupancy
watering,shedding tears
partway,unavailable
quiet,a period of calm weather
foremost,ranking above all others
greeting,(usually plural) an acknowledgment or expression of good will (especially on meeting)
hiding,the activity of keeping something secret
raced,move fast
tablecloth,a covering spread over a dining table
enroll,register formally as a participant or member
confusion,disorder resulting from a failure to behave predictably
eggcup,dishware consisting of a small cup for serving a boiled egg
understandable,capable of being apprehended or understood
terms,status with respect to the relations between people or groups
glossary,an alphabetical list of technical terms in some specialized field of knowledge; usually published as an appendix to a text on that field
beamed,smile radiantly; express joy through one's facial expression
extremely,to a high degree or extent; favorably or with much respect
introduction,the act of beginning something new
classes,a collection of things sharing a common attribute
university,the body of faculty and students at a university
fall,the season when the leaves fall from the trees
beams,a signal transmitted along a narrow path; guides airplane pilots in darkness or bad weather
seventeen,the cardinal number that is the sum of sixteen and one
pinning,a mutual promise of a couple not to date anyone else; on college campuses it was once signaled by the giving of a fraternity pin
aqua,a shade of blue tinged with green
adult,a fully developed person from maturity onward
pretending,the act of giving a false appearance
sentiment,"tender, romantic, or nostalgic feeling or emotion"
screen,a white or silvered surface where pictures can be projected for viewing
powdered,make into a powder by breaking up or cause to become dust
momentarily,for an instant or moment
interviewing,"conduct an interview in television, newspaper, and radio reporting"
exasperated,exasperate or irritate
hired,engage or hire for work
ugly,displeasing to the senses
reveal,make visible
trousers,"(usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately"
leg,a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle
blood,"the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets"
diverse,many and different
containing,include or contain; have as a component
snoring,the act of snoring or producing a snoring sound
glorified,"praise, glorify, or honor"
gerbils,small Old World burrowing desert rodent with long soft pale fur and hind legs adapted for leaping
animals,a living organism characterized by voluntary movement
ditched,forsake
snores,the rattling noise produced when snoring
dainty,something considered choice to eat
declaring,state emphatically and authoritatively
independence,freedom from control or influence of another or others
fighting,the act of fighting; any contest or struggle
zone,a locally circumscribed place characterized by some distinctive features
horrible,provoking horror; ; ; ; - Winston Churchill
happening,an event that happens
dozed,sleep lightly or for a short period of time
forgotten,dismiss from the mind; stop remembering
flights,a formation of aircraft in flight
correspondent,someone who communicates by means of letters
commercial,a commercially sponsored ad on radio or television
french,the Romance language spoken in France and in countries colonized by France
region,the extended spatial location of something
perspective,a way of regarding situations or topics etc.
serve,(sports) a stroke that puts the ball in play
views,a way of regarding situations or topics etc.
peace,the state prevailing during the absence of war
stuffed,cram into a cavity
shooed,drive away by crying `shoo!'
chime,a percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
county,(United Kingdom) a region created by territorial division for the purpose of local government
stayed,stay the same; remain in a certain state
answered,react verbally
reporter,a person who investigates and reports or edits news stories
misunderstood,interpret in the wrong way
bringing,the act of delivering or distributing something (as goods or mail)
hung,be suspended or hanging
teenager,a juvenile between the onset of puberty and maturity
offering,something offered (as a proposal or bid)
suggestions,an idea that is suggested
attends,"be present at (meetings, church services, university), etc."
slight,a deliberate discourteous act (usually as an expression of anger or disapproval)
headscarf,a kerchief worn over the head and tied under the chin
wimple,headdress of cloth; worn over the head and around the neck and ears by medieval women
chattery,unavailable
climbed,go upward with gradual or continuous progress
won,the basic unit of money in South Korea
russian,a native or inhabitant of Russia
plain,extensive tract of level open land
mines,excavation in the earth from which ores and minerals are extracted
castles,a large and stately mansion
dorky,unavailable
hostel,a hotel providing overnight lodging for travelers
oriented,be oriented
girlfriend,any female friend
pumping,"operate like a pump; move up and down, like a handle or a pedal"
grabbed,take hold of so as to seize or restrain or stop the motion of
bold,a typeface with thick heavy lines
headline,the heading or caption of a newspaper article
weird,fate personified; any one of the three Weird Sisters
salmonella,rod-shaped Gram-negative enterobacteria; cause typhoid fever and food poisoning; can be used as a bioweapon
thickly,spoken with poor articulation as if with a thick tongue
spread,process or result of distributing or extending over a wide expanse of space
cherries,wood of any of various cherry trees especially the black cherry
plate,(baseball) base consisting of a rubber slab where the batter stands; it must be touched by a base runner in order to score
cuts,a share of the profits
salamis,highly seasoned fatty sausage of pork and beef usually dried
hams,meat cut from the thigh of a hog (usually smoked)
basket,a container that is usually woven and has handles
poppy,annual or biennial or perennial herbs having showy flowers
container,any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another)
honey,a sweet yellow liquid produced by bees
carafes,a bottle with a stopper; for serving wine or water
apricots,Asian tree having clusters of usually white blossoms and edible fruit resembling the peach
pastries,a dough of flour and water and shortening
dozens,a large number or amount
ceramic,an artifact made of hard brittle material produced from nonmetallic minerals by firing at high temperatures
umbrella,a lightweight handheld collapsible canopy
diaper,garment consisting of a folded cloth drawn up between the legs and fastened at the waist; worn by infants to catch excrement
grandpa,the father of your father or mother
cane,a stick that people can lean on to help them walk
mess,a state of confusion and disorderliness
cry,a loud utterance; often in protest or opposition
