Word,Definition
millions,the number that is represented as a one followed by 6 zeros
stupid,a person who is not very bright
metal,any of several chemical elements that are usually shiny solids that conduct heat or electricity and can be formed into sheets etc.
gate,a movable barrier in a fence or wall
felt,a fabric made of compressed matted animal fibers
million,the number that is represented as a one followed by 6 zeros
miles,"a unit of length equal to 1,760 yards or 5,280 feet; exactly 1609.344 meters"
stared,look at with fixed eyes
strand,a pattern forming a unity within a larger structural whole
hair,a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss
place,a point located with respect to surface features of some region
looked,perceive with attention; direct one's gaze towards
mirror,polished surface that forms images by reflecting light
combed,straighten with a comb
fingers,any of the terminal members of the hand (sometimes excepting the thumb)
separated,act as a barrier between; stand between
salon,gallery where works of art can be displayed
come,the thick white fluid containing spermatozoa that is ejaculated by the male genital tract
sleek,make slick or smooth
line,a formation of people or things one beside another
right,an abstract idea of that which is due to a person or governmental body by law or tradition or nature; ; - Eleanor Roosevelt
came,"move toward, travel toward something or somebody or approach something or somebody"
life,a characteristic state or mode of living
want,a state of extreme poverty
sweetie,a person loved by another person
mom,informal terms for a mother
straightening,straighten up or out; make straight
stood,be standing; be upright
allergy,hypersensitivity reaction to a particular allergen; symptoms can vary greatly in intensity
black,the quality or state of the achromatic color of least lightness (bearing the least resemblance to white)
slacks,(usually in the plural) pants for casual wear
job,the principal activity in your life that you do to earn money
interview,the questioning of a person (or a conversation in which information is elicited); often conducted by journalists
crisp,a thin crisp slice of potato fried in deep fat
dark,absence of light or illumination
feet,the part of the leg of a human being below the ankle joint
thought,the content of cognition; the main thing you are thinking about
bounced,spring back; spring away from an impact
earlier,(comparative and superlative of `early') more early than; most early
months,one of the twelve divisions of the calendar year
moved,"change location; move, travel, or proceed, also metaphorically"
pong,an unpleasant smell
ball,round object that is hit or thrown or kicked in games
finally,after an unspecified period of time or an especially long delay
ran,"move fast by using one's feet, with one foot off the ground at any given time"
steam,water at boiling temperature diffused in the atmosphere
anxiety,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic"
page,one side of one leaf (of a book or magazine or newspaper or letter etc.) or the written or pictorial matter it contains
listed,give or make a list of; name individually; give the names of
attack,(military) an offensive against an enemy (using weapons)
recommended,push for something
spot,a point located with respect to surface features of some region
goodness,that which is pleasing or valuable or useful
like,"a similar kind; ,"
motorized,equip with a motor vehicle
fries,strips of potato fried in deep fat
went,"change location; move, travel, or proceed, also metaphorically"
oh,a midwestern state in north central United States in the Great Lakes region
better,something superior in quality or condition or effect
invented,"come up with (an idea, plan, explanation, theory, or principle) after a mental effort"
think,an instance of deliberate thinking
got,come into the possession of something concrete or abstract
lumbered,move heavily or clumsily
cold,a mild viral infection involving the nose and respiratory passages (but not the lungs)
frolicking,play boisterously
flying,an instance of traveling by air
started,take the first step or steps in carrying out an action
friend,a person you know well and regard with affection and trust
mean,an average of n numbers computed by adding some function of the numbers and dividing by some function of n
trip,a journey for some purpose (usually including the return)
summer,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox
years,a late time of life
divorced,part; cease or break association with
happily,in a joyous manner
they’d,unavailable
