Word,Definition
museums,a depository for collecting and displaying objects having scientific or historical or artistic value
visited,"go to see a place, as for entertainment"
set,a group of things of the same kind that belong together and are so used
paints,a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating
clumps,a grouping of a number of similar things
slow,lose velocity; move more slowly
fall,the season when the leaves fall from the trees
decided,"reach, make, or come to a decision about something"
staring,look at with fixed eyes
ground,the solid part of the earth's surface
shovel,a hand tool for lifting loose material; consists of a curved container or scoop and a handle
girl,a young woman
sure,having or feeling no doubt or uncertainty; confident and assured
cave,a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea
build,constitution of the human body
songs,a short musical composition with words
book,a written work or composition that has been published (printed on pages bound together)
dig,the site of an archeological exploration
bulge,something that bulges out or is protuberant or projects from its surroundings
huge,unusually great in size or amount or degree or especially extent or scope; ; ; ; ; ; ; ; ; - W.R.Inge
mound,(baseball) the slight elevation on which the pitcher stands
spread,process or result of distributing or extending over a wide expanse of space
showed,give an exhibition of to an interested audience
artist,a person whose creative work shows sensitivity and imagination
piano,a keyboard instrument that is played by depressing keys that cause hammers to strike tuned strings and produce sounds
lessons,a unit of instruction
school,an educational institution
hand,the (prehensile) extremity of the superior limb
dirt,the part of the earth's surface consisting of humus and disintegrated rock
looking,the act of directing the eyes toward something and perceiving it visually
far,a terrorist organization that seeks to overthrow the government dominated by Tutsi and to institute Hutu control again
away,not present; having left
pointed,"indicate a place, direction, person, or thing; either spatially or figuratively"
war,the waging of armed conflict against an enemy
pace,the rate of moving (especially walking or running)
aid,a resource
enemy,an opposing military force
grass,narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay
playing,the act of playing a musical instrument
minutes,a written account of what transpired at a meeting
started,take the first step or steps in carrying out an action
complaining,"express complaints, discontent, displeasure, or unhappiness"
hour,a period of time equal to 1/24th of a day
covered,provide with a covering or cause to be covered
lie,a statement that deviates from or perverts the truth
tall,a garment size for a tall person
music,an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner
rest,something left after other parts have been taken away
quietly,with low volume
yeah,"not only so, but"
shrugged,raise one's shoulders to indicate indifference or resignation
kind,a category of things distinguished by some common characteristic or quality
bathed,cleanse the entire body
daddy,an informal term for a father; probably derived from baby talk
hi,an expression of greeting
office,place of business where professional or clerical duties are performed
post,the position where someone (as a guard or sentry) stands or is assigned to stand
stop,the event of something ending
beer,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops
mumbled,talk indistinctly; usually in a low voice
suggested,"make a proposal, declare a plan for something"
man,an adult person who is male (as opposed to a woman)
turned,"change orientation or direction, also in the abstract sense"
way,how something is done or how it happens
gave,"cause to have, in the abstract sense or physical sense"
home,where you live at a particular time
tack,the heading or position of a vessel relative to the trim of its sails
hard,not easy; requiring great physical or mental effort to accomplish or comprehend or endure
questions,an instance of questioning
answer,a statement (either spoken or written) that is made to reply to a question or request or criticism or accusation
time,an instance or single occasion for some event
yes,an affirmative
corrected,make right or correct
hello,an expression of greeting
took,carry out
knife,edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle
looked,perceive with attention; direct one's gaze towards
entered,to come or go into
soon,in the near future
sort,a category of things distinguished by some common characteristic or quality
help,the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
asked,inquire about
cried,utter a sudden loud cry
record,anything (such as a document or a phonograph record or a photograph) providing permanent evidence of or information about past events
grinned,"to draw back the lips and reveal the teeth, in a smile, grimace, or snarl"
lowered,move something or somebody to a lower position
counter,table consisting of a horizontal surface over which business is transacted
room,an area within a building enclosed by walls and floor and ceiling
standing,social or financial or professional status or reputation
window,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air
mailboxes,a private box for delivery of mail
mailbag,pouch used in the shipment of mail
dragged,"pull, as against a resistance"
sharp,a musical notation indicating one half step higher than the note named
found,food and lodging provided in addition to money
corner,a place off to the side of an area
head,the upper part of the human body or the front part of the body in animals; contains the face and brains
poked,poke or thrust abruptly
soda,a sodium salt of carbonic acid; used in making soap powders and glass and paper
pull,the act of pulling; applying force to move something toward or with you
wagon,any of various kinds of wheeled vehicles drawn by an animal or a tractor
picked,select carefully from a group
glad,any of numerous plants of the genus Gladiolus native chiefly to tropical and South Africa having sword-shaped leaves and one-sided spikes of brightly colored funnel-shaped flowers; widely cultivated
headed,to go or travel towards
smooth,the act of smoothing
walls,an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure
pack,a large indefinite number
stones,a lump or mass of hard consolidated mineral matter
large,a garment size for a large person
voice,the distinctive quality or pitch or condition of a person's speech
shaved,remove body hair with a razor
young,any immature animal
awful,exceptionally bad or displeasing
hurting,a symptom of some physical hurt or disorder
loaded,fill or place a load on
paid,"give money, usually in exchange for goods or services"
case,an occurrence of something
happened,come to pass
picking,the quantity of a crop that is harvested
form,the phonological or orthographic sound or appearance of a word that can be used to describe or identify something
correct,make right or correct
pen,a writing implement with a point from which ink flows
searching,"try to locate or discover, or try to establish the existence of"
let,a brutal terrorist group active in Kashmir; fights against India with the goal of restoring Islamic rule of India
page,one side of one leaf (of a book or magazine or newspaper or letter etc.) or the written or pictorial matter it contains
gather,sewing consisting of small folds or puckers made by pulling tight a thread in a line of stitching
bag,a flexible container with a single opening
cents,a fractional monetary unit of several countries
words,the words that are spoken
laughed,produce laughter
handed,place into the hands or custody of
rushed,move fast
hardly,only a very short time before; ; ; ; ; - W.B.Yeats
stopping,fastener consisting of a narrow strip of welded metal used to join steel members
trip,a journey for some purpose (usually including the return)
fishing,the act of someone who fishes as a diversion
friendly,troops belonging to or allied with your own military forces
maybe,by chance
catalogue,a complete list of things; usually arranged systematically
flipped,lightly throw to see which side comes up
pulling,the act of pulling; applying force to move something toward or with you
desk,a piece of furniture with a writing surface and usually drawers or other compartments
reaching,the act of physically reaching or thrusting out
better,something superior in quality or condition or effect
feel,an intuitive awareness;  or
rain,water falling in drops from vapor condensed in the atmosphere
half,one of two equal parts of a divisible whole
corn,tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times
rotting,(biology) the process of decay caused by bacterial or fungal action
field,a piece of land cleared of trees and usually enclosed
week,any period of seven consecutive days
crawl,a very slow movement
inside,the region that is inside of something
quiet,a period of calm weather
hunt,Englishman and Pre-Raphaelite painter (1827-1910)
noon,the middle of the day
times,a more or less definite period of time now or previously present
passed,go across or through
trains,public transport provided by a line of railway cars coupled together and drawn by a locomotive
couple,a pair who associate with one another
dimes,a United States coin worth one tenth of a dollar
year,a period of time containing 365 (or 366) days
save,(sports) the act of preventing the opposition from scoring
number,the property possessed by a sum or total or indefinite quantity of units or individuals
car,a motor vehicle with four wheels; usually propelled by an internal combustion engine
hollered,shout out
guess,a message expressing an opinion based on incomplete evidence
soldiers,an enlisted man or woman who serves in an army
getting,the act of acquiring something
ready,poised for action
ship,a vessel that carries passengers or freight
stuck,"put, fix, force, or implant"
pm,an examination and dissection of a dead body to determine cause of death or the changes produced by disease
daily,a newspaper that is published every day
relaxing,"become less tense, rest, or take one's ease"
seed,a small hard fruit
able,(usually followed by `to') having the necessary means or skill or know-how or authority to do something
clock,a timepiece that shows the time of day
ones,the smallest whole number or a numeral representing this number
schedule,a temporally organized plan for matters to be attended to
went,"change location; move, travel, or proceed, also metaphorically"
depot,station where transport vehicles load or unload passengers or goods
waved,signal with the hands or nod
crazy,someone deranged and possibly dangerous
saw,a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
riverbank,the bank of a river
platform,a raised horizontal surface
yelled,utter a sudden loud cry
throw,the act of throwing (propelling something with a rapid movement of the arm and wrist)
added,"make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of"
filled,"make full, also in a metaphorical sense"
water,binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent
carefully,taking care or paying attention
returned,"go or come back to place, condition, or activity where one has been before"
indian,a member of the race of people living in America when Europeans arrived
remembered,recall knowledge from memory; have a recollection
gone,"change location; move, travel, or proceed, also metaphorically"
fire,the event of something burning (often destructive)
held,"keep in a certain state, position, or activity; e.g.,"
blanket,bedding that keeps a person warm in bed
unfolded,develop or come to a promising stage
wife,a married woman; a man's partner in marriage
prayer,the act of communicating with a deity (especially as a petition or in adoration or contrition or thanksgiving)
silent,marked by absence of sound
briefly,for a short time
moved,"change location; move, travel, or proceed, also metaphorically"
lips,either of two fleshy folds of tissue that surround the mouth and play a role in speaking
eyes,opinion or judgment
closed,move so that an opening or passage is obstructed; make shut
cabin,small room on a ship or boat where people sleep
dead,people who are no longer living
arrived,reach a destination; arrive by movement or progress
dropped,let fall to the ground
politely,in a polite manner
clutching,take hold of; grab
bowl,a round vessel that is open at the top; used chiefly for holding food or liquids
handsaw,a saw used with one hand for cutting wood
sell,the activity of persuading someone to buy
shovels,a hand tool for lifting loose material; consists of a curved container or scoop and a handle
nodded,express or signify by nodding
ignored,refuse to acknowledge
picks,the person or thing chosen or selected
word,a unit of language that native speakers can identify
saying,a word or phrase that particular people use in particular situations
dang,unavailable
heard,perceive (sound) via the auditory sense
bit,a small piece or quantity of something
caused,"give rise to; cause to happen or occur, not always intentionally"
digging,the act of digging
long,desire strongly or persistently
gasped,"breathe noisily, as when one is exhausted"
upset,an unhappy and worried mental state
interested,excite the curiosity of; engage the interest of
reached,"reach a destination, either real or abstract"
entrance,something that provides access (to get in or get out)
shoved,come into rough contact with while moving
fact,a piece of information about circumstances that exist or events that have occurred
crackers,a thin crisp wafer made of flour and water with or without leavening and shortening; unsweetened or semisweet
realized,be fully aware or cognizant of
cause,events that provide the generative force that is the origin of something
barely,only a very short time before; ; ; ; ; - W.B.Yeats
pressing,the act of pressing; the exertion of pressure
hold,the act of grasping
making,the act that results in something coming to be
died,pass from physical life and lose all bodily attributes and functions necessary to sustain life
years,a late time of life
ago,gone by; or in the past
bigger,large or big relative to something else
palm,the inner surface of the hand from the wrist to the base of the fingers
ask,inquire about
holding,the act of retaining something
sign,a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
relatives,a person related by blood or marriage
led,diode such that light emitted at a p-n junction is proportional to the bias current; color depends on the material used
picture,a visual representation (of an object or scene or person or abstraction) produced on a surface
dry,a reformer who opposes the use of intoxicating beverages
hot,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning
letting,property that is leased or rented out or let
walked,use one's feet to advance; advance by steps
afternoon,the part of the day between noon and evening
sun,the star that is the source of light and heat for the planets in the solar system
named,assign a specified (usually proper) proper name to
pirate,someone who uses another person's words or ideas as if they were his own
hole,an opening into or through something
ships,a vessel that carries passengers or freight
map,a diagrammatic representation of the earth's surface (or part of it)
treasure,accumulated wealth in the form of money or jewels etc.
title,a heading that names a statute or legislative bill; may give a brief summary of the matters it deals with
glanced,throw a glance at; take a brief look at
sailing,the work of a sailor
swimming,the act of swimming; :
balance,a state of equilibrium
screamed,utter a sudden loud cry
suddenly,happening unexpectedly
skirt,cloth covering that forms the part of a garment below the waist
pushing,the act of applying force in order to move something away
practically,almost; nearly
girls,a young woman
usually,under normal conditions
stayed,stay the same; remain in a certain state
helped,give help or assistance; be of service
barefoot,without shoes
river,a large natural stream of water (larger than a creek)
teach,an English pirate who operated in the Caribbean and off the Atlantic coast of North America (died in 1718)
swim,the act of swimming; :
walking,the act of traveling by foot
finished,come or bring to a finish or an end
telling,an act of narration
bout,(sports) a division during which one team is on the offensive
expected,regard something as probable or likely
refuse,food that is discarded (as from a kitchen)
clutched,take hold of; grab
afraid,filled with fear or apprehension
sticks,an implement consisting of a length of wood
crawdads,tiny lobster-like crustaceans usually boiled briefly
rock,a lump or mass of hard consolidated mineral matter
age,how long something has existed
sample,a small part of something intended as representative of the whole
stool,a simple seat without a back or arms
offered,"make available or accessible, provide or furnish"
kitchen,a room equipped for preparing meals
barrel,a tube through which a bullet travels when a gun is fired
loafers,person who does no work
pair,a set of two similar things considered as a unit
pill,something that resembles a tablet of medicine in shape or size
pride,a feeling of self-respect and personal worth
swallowed,pass through the esophagus as part of eating or drinking
end,either extremity of something that has length
pass,(baseball) an advance to first base by a batter who receives four balls
need,a condition requiring relief
noticed,"discover or determine the existence, presence, or fact of"
finding,"the act of determining the properties of something, usually by research or calculation"
mutiny,open rebellion against constituted authority (especially by seamen or soldiers against their officers)
gon,unavailable
na,a silvery soft waxy metallic element of the alkali metal group; occurs abundantly in natural compounds (especially in salt water); burns with a yellow flame and reacts violently in water; occurs in sea water and in the mineral halite (rock salt)
drift,a force that moves something along
brave,a North American Indian warrior
talking,an exchange of ideas via conversation
parrot,usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds
felt,a fabric made of compressed matted animal fibers
jar,a vessel (usually cylindrical) with a wide mouth and without handles
read,something that is read
pirates,someone who uses another person's words or ideas as if they were his own
world,everything that exists anywhere
giggled,laugh nervously
paddle,small wooden bat with a flat surface; used for hitting balls in various games
doggy,informal terms for dogs
trying,make an effort or attempt
face,the front of the human head from the forehead to the chin and ear to ear
nice,a city in southeastern France on the Mediterranean; the leading resort on the French Riviera
wet,wetness caused by water
sound,the particular auditory effect produced by a given cause
stays,a woman's close-fitting foundation garment
moving,"change location; move, travel, or proceed, also metaphorically"
favorites,something regarded with special favor or liking
encouragement,the expression of approval and support
especially,to a distinctly greater extent or degree than is common
shoes,a particular situation
bother,an angry disturbance
white,a member of the Caucasoid race
chalky,composed of or containing or resembling calcium carbonate or calcite or chalk
wanted,feel or have a desire for; want strongly
push,the act of applying force in order to move something away
shallow,a stretch of shallow water
curve,the trace of a point whose direction of motion changes
dinner,the main meal of the day served in the evening or at midday
needed,"require as useful, just, or proper"
ta,a hard grey lustrous metallic element that is highly resistant to corrosion; occurs in niobite and fergusonite and tantalite
calm,steadiness of mind under stress
arms,weapons considered collectively
liked,prefer or wish to do something
kept,"keep in a certain state, position, or activity; e.g.,"
sail,a large piece of fabric (usually canvas fabric) by means of which wind is used to propel a sailing vessel
wished,hope for; have a wish
arm,a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
brothers,a male with the same parents as someone else
carried,"move while supporting, either in a vehicle or in one's hands or on one's body"
dress,a one-piece garment for a woman; has skirt and bodice
oldest,(used especially of persons) having lived for a relatively long time or attained a specific age
child,a young person of either sex
asking,the verbal act of requesting
surprised,cause to be surprised
mama,informal terms for a mother
whispered,speak softly; in a low voice
stormed,"behave violently, as if in state of a great anger"
worms,any of numerous relatively small elongated soft-bodied animals especially of the phyla Annelida and Chaetognatha and Nematoda and Nemertea and Platyhelminthes; also many insect larvae
kill,the act of terminating a life
fell,the dressed skin of an animal (especially a large animal)
sir,term of address for a man
seen,perceive by sight or have the power to perceive by sight
suit,a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color
porch,a structure attached to the exterior of a building often forming a covered entrance
waiting,the act of waiting (remaining inactive in one place while expecting something)
strange,being definitely out of the ordinary and unexpected; slightly odd or even a bit weird
sharply,in an aggressive manner
reset,device for resetting instruments or controls
friends,a person you know well and regard with affection and trust
tons,a large number or amount
lot,(often followed by `of') a large number or amount or extent
plan,a series of steps to be carried out or goals to be accomplished
figured,judge to be probable
pet,a domesticated animal kept for companionship or amusement
fade,a golf shot that curves to the right for a right-handed golfer
smell,the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form
human,"any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage"
unusual,not usual or common or ordinary
snares,something (often something deceptively attractive) that catches you unawares
check,a written order directing a bank to pay money
patch,a small contrasting part of something
sage,a mentor in spiritual and philosophical topics who is renowned for profound wisdom
cheap,relatively low in price or charging low prices
rabbits,any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food
broom,a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle
later,coming at a subsequent time or stage
rabbit,any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food
swamp,low land that is seasonally flooded; has more woody plants than a marsh and better drainage than a bog
eat,take in solid food
thin,lose thickness; become thin or thinner
oh,a midwestern state in north central United States in the Great Lakes region
fair,a traveling show; having sideshows and rides and games of skill etc.
stew,agitation resulting from active worry
showing,the display of a motion picture
spent,pass time in a specific way
mentioned,make reference to
stupid,a person who is not very bright
near,move towards
cut,a share of the profits
buzzard,a New World vulture that is common in South America and Central America and the southern United States
mess,a state of confusion and disorderliness
drinking,the act of consuming liquids
root,(botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground
wire,ligament made of metal and used to fasten things or make cages or fences etc
meat,the flesh of animals (including fishes and birds and snails) used as food
fetch,the action of fetching
apiece,to or from every one of two or more (considered individually)
served,"serve a purpose, role, or function"
find,a productive insight
earn,earn on some commercial or business transaction; earn as salary or wages
serving,an individual quantity of food or drink taken as part of a meal
gathered,assemble or get together
frustrated,"hinder or prevent (the efforts, plans, or desires) of"
dreamed,have a daydream; indulge in a fantasy
bald,grow bald; lose hair on one's head
beginning,the event consisting of the start of something
caught,"discover or come upon accidentally, suddenly, or unexpectedly; catch somebody doing something or in a certain state"
darker,devoid of or deficient in light or brightness; shadowed or black
skin,a natural protective body covering and site of the sense of touch
fields,United States comedian and film actor (1880-1946)
seeds,a small hard fruit
plant,buildings for carrying on industrial labor
specially,in a special manner
perfectly,completely and without qualification; used informally as intensifiers
road,an open way (generally public) for travel or transportation
watching,the act of observing; taking a patient look
aisle,a long narrow passage (as in a cave or woods)
floor,"the inside lower horizontal surface (as of a room, hallway, tent, or other structure)"
dusty,covered with a layer of dust
scuffed,walk without lifting the feet
turnips,widely cultivated plant having a large fleshy edible white or yellow root
want,a state of extreme poverty
wonder,the feeling aroused by something strange and surprising
understand,know and comprehend the nature or meaning of
turnip,widely cultivated plant having a large fleshy edible white or yellow root
hoe,a tool with a flat blade attached at right angles to a long handle
drop,a shape that is spherical and small
tiny,very small
wo,unavailable
boring,the act of drilling
spending,the act of spending or disbursing money
starts,the beginning of anything
drove,a group of animals (a herd or flock) moving together
worrying,the act of harassing someone
broken,terminate
windows,(trademark) an operating system with a graphical user interface
miles,"a unit of length equal to 1,760 yards or 5,280 feet; exactly 1609.344 meters"
heavy,an actor who plays villainous roles
going,the act of departing
lagged,"hang (back) or fall (behind) in movement, progress, development, etc."
cover,a covering that serves to conceal or shelter something
job,the principal activity in your life that you do to earn money
shoulder,the part of the body between the neck and the upper arm
thank,express gratitude or show appreciation to
married,a person who is married
knew,be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about
aisles,a long narrow passage (as in a cave or woods)
buying,the act of buying
pens,a writing implement with a point from which ink flows
paper,a material made of cellulose pulp derived mainly from wood or rags or certain grasses
ink,a liquid used for printing or writing or drawing
grandpa,the father of your father or mother
rows,an arrangement of objects or people side by side in a line
helping,an individual quantity of food or drink taken as part of a meal
gallon,United States liquid unit equal to 4 quarts or 3.785 liters
sack,a bag made of paper or plastic for holding customer's purchases
gosh,unavailable
stay,continuing or remaining in a place or state
continued,"continue a certain state, condition, or activity"
sighed,heave or utter a sigh; breathe deeply and heavily
wish,a specific feeling of desire
says,the chance to speak
mamas,informal terms for a mother
run,a score in baseball made by a runner touching all four bases safely
leaving,the act of departing
shared,have in common
twins,(mineralogy) two interwoven crystals that are mirror images on each other
walk,the act of traveling by foot
satchel,luggage consisting of a small case with a flat bottom and (usually) a shoulder strap
bed,a piece of furniture that provides a place to sleep
threw,propel through the air
line,a formation of people or things one beside another
stood,be standing; be upright
register,an official written record of names or events or transactions
bath,a vessel containing liquid in which something is immersed (as to process it or to maintain it at a constant temperature or to lubricate it)
seat,a space reserved for sitting (as in a theater or on a train or airplane)
sitting,(photography) the act of assuming a certain position (as for a photograph or portrait)
brother,a male with the same parents as someone else
seven,the cardinal number that is the sum of six and one
raise,the amount a salary is increased
gulped,to swallow hurriedly or greedily or in one draught
ma’am,unavailable
intent,an anticipated outcome that is intended or that guides your planned actions
foot,the part of the leg of a human being below the ankle joint
sticking,"put, fix, force, or implant"
meant,mean or intend to express or convey
mayor,the head of a city government
poor,people without possessions or wealth (considered as a group)
high,a lofty level or position or degree
teacher,a person whose occupation is teaching
start,the beginning of anything
learning,the cognitive process of acquiring skill or knowledge
anybody,unavailable
stuff,the tangible substance that goes into the makeup of a physical object
shade,relative darkness caused by light rays being intercepted by an opaque body
blonde,a person with fair skin and hair
hair,a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss
paler,very light colored; highly diluted with white
pearl,a smooth lustrous round structure inside the shell of a clam or oyster; much valued as a jewel
necklace,jewelry consisting of a cord or chain (often bearing gems) worn about the neck as an ornament (especially by women)
early,at or near the beginning of a period of time or course of events or before the usual or expected time
rocks,a lump or mass of hard consolidated mineral matter
chestnut,wood of any of various chestnut trees of the genus Castanea
trees,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
schoolhouse,a building where young people receive education
person,a human being
wooden,made or consisting of (entirely or in part) or employing wood
desks,a piece of furniture with a writing surface and usually drawers or other compartments
middle,an area that is approximately central within some larger region
blocks,a solid piece of something (usually having flat rectangular sides)
invited,increase the likelihood of
shoot,a new branch
scribbled,write down quickly without much attention to detail
list,a database containing an ordered array of items (names or topics)
stopped,"come to a halt, stop moving"
knows,the fact of being aware of information that is known to few people
morning,the time period between dawn and noon
ruler,a person who rules or commands
role,the actions and activities assigned to or required or expected of a person or group
sin,estrangement from god
grade,a body of students who are taught together
called,assign a specified (usually proper) proper name to
hung,be suspended or hanging
chalk,a soft whitish calcite
ended,"have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical"
break,some abrupt occurrence that interrupts an ongoing activity
outfit,any cohesive unit such as a military company
practical,concerned with actual use or practice
